title,url,year
INFORME DE EXAMEN ESPECIAL RELATIVO A LICITACIONES DE MEDICAMENTOS E INSUMOS MEDICOS,http://www.cortedecuentas.gob.sv/index.php/es/resultado-del-proceso-de-fiscalizacion/sentencias-definitivas-ejecutoriadas/camara-quinta/2010?download=3868,2010
"INFORME DE EXAMEN ESPECIAL RELACIONADO CON LA VERIFICACION DE DONACIONES, COMODATOS, CONCESIONES, ENDEUDAMIENTO Y DEMAS ACCIONES QUE AFECTEN EL PATRIMONIO DE LA ALCALDIA",http://www.cortedecuentas.gob.sv/index.php/es/resultado-del-proceso-de-fiscalizacion/sentencias-definitivas-ejecutoriadas/camara-quinta/2010?download=3882,2010
INFORME DE EXAMEN ESPECIAL RELACIONADO A VERIFICACION DE DENUNCIA,http://www.cortedecuentas.gob.sv/index.php/es/resultado-del-proceso-de-fiscalizacion/sentencias-definitivas-ejecutoriadas/camara-quinta/2010?download=3867,2010
INFORME DE EXAMEN ESPECIAL POR VERIFICACION DE DENUNCIA PRESENTADA ANTE EL DEPARTAMENTO DE PARTICIPACION CIUDADANA,http://www.cortedecuentas.gob.sv/index.php/es/resultado-del-proceso-de-fiscalizacion/sentencias-definitivas-ejecutoriadas/camara-quinta/2010?download=3856,2010
INFORME DE EXAMEN ESPECIAL POR IRREGULARIDADES COMETIDAS EN EL MANEJO DE LOS ALIMENTOS REMITIDOS POR EL MINISTERIO DE EDUCACION.,http://www.cortedecuentas.gob.sv/index.php/es/resultado-del-proceso-de-fiscalizacion/sentencias-definitivas-ejecutoriadas/camara-quinta/2010?download=3864,2010
"INFORME DE EXAMEN ESPECIAL DE INGRESOS, EGRESOS Y PROYECTOS",http://www.cortedecuentas.gob.sv/index.php/es/resultado-del-proceso-de-fiscalizacion/sentencias-definitivas-ejecutoriadas/camara-quinta/2010?download=3874,2010
INFORME DE EXAMEN ESPECIAL DE EJECUCION PRESUPUESTARIA,http://www.cortedecuentas.gob.sv/index.php/es/resultado-del-proceso-de-fiscalizacion/sentencias-definitivas-ejecutoriadas/camara-quinta/2010?download=3869,2010
INFORME DE EXAMEN ESPECIAL A LOS TERRENOS ADQUIRIDOS POR LA CONDONACION EN PAGO POR PARTE DE LAS COOPERATIVAS,http://www.cortedecuentas.gob.sv/index.php/es/resultado-del-proceso-de-fiscalizacion/sentencias-definitivas-ejecutoriadas/camara-quinta/2010?download=3885,2010
INFORME DE EXAMEN ESPECIAL A LOS PROYECTOS DE INFRAESTRUCTURA,http://www.cortedecuentas.gob.sv/index.php/es/resultado-del-proceso-de-fiscalizacion/sentencias-definitivas-ejecutoriadas/camara-quinta/2010?download=3873,2010
"INFORME DE EXAMEN ESPECIAL A LOS INGRESOS, EGRESOS Y PROYECTOS.",http://www.cortedecuentas.gob.sv/index.php/es/resultado-del-proceso-de-fiscalizacion/sentencias-definitivas-ejecutoriadas/camara-quinta/2010?download=3860,2010
"INFORME DE EXAMEN ESPECIAL A LOS INGRESOS, EGRESOS Y PROYECTOS",http://www.cortedecuentas.gob.sv/index.php/es/resultado-del-proceso-de-fiscalizacion/sentencias-definitivas-ejecutoriadas/camara-quinta/2010?download=3863,2010
